"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25589","TC-POS-015 - Cari doctor dengan keyword minimal 4 karakter","chromium","2026-07-13","failed","2026-07-13","pos Doctor","","",""
"","31318","TC-POS-010 - Klik icon + pada field customer","firefox","2026-07-13","broken","2026-07-13","pos Customer","","",""
"","25565","TC-POS-007 - Klik icon search customer tanpa keyword","chromium","2026-07-13","failed","2026-07-13","pos Customer","","",""
"","31223","TC-POS-018 - Pilih doctor dari popup list pelanggan","firefox","2026-07-13","broken","2026-07-13","pos Doctor","","",""
"","6486","TC-LGN-002 - Login tidak input password","chromium","2026-07-13","passed","2026-07-13","Login gpos","","",""
"","29023","TC-POS-001 - Search produk dengan keyword kurang dari 4 karakter","firefox","2026-07-13","failed","2026-07-13","product search","","",""
"","24944","TC-POS-006 - Default customer adalah Regular","chromium","2026-07-13","failed","2026-07-13","pos Customer","","",""
"","31239","TC-POS-008 - Cari pelanggan dengan keyword minimal 4 karakter","firefox","2026-07-13","broken","2026-07-13","pos Customer","","",""
"","25548","TC-POS-008 - Cari pelanggan dengan keyword minimal 4 karakter","chromium","2026-07-13","failed","2026-07-13","pos Customer","","",""
"","27757","end to end","firefox","2026-07-13","failed","2026-07-13","e2e","","",""
"","29245","TC-POS-006 - Default customer adalah Regular","firefox","2026-07-13","failed","2026-07-13","pos Customer","","",""
"","31239","TC-POS-017 - Klik Batal pada form tambah dokter","firefox","2026-07-13","broken","2026-07-13","pos Doctor","","",""
"","24687","TC-POS-018 - Pilih doctor dari popup list pelanggan","chromium","2026-07-13","failed","2026-07-13","pos Doctor","","",""
"","25437","TC-POS-014 - Default dokter adalah Internal","chromium","2026-07-13","failed","2026-07-13","pos Doctor","","",""
"","28930","TC-POS-016 - Tambah dokter via form registrasi","firefox","2026-07-13","failed","2026-07-13","pos Doctor","","",""
"","27624","TC-POS-014 - Default dokter adalah Internal","firefox","2026-07-13","failed","2026-07-13","pos Doctor","","",""
"","17579","TC-LGN-001 - Login berhasil sebagai testqa2","chromium","2026-07-13","passed","2026-07-13","Login gpos","","",""
"","6223","TC-LGN-002 - Login tidak input password","firefox","2026-07-13","passed","2026-07-13","Login gpos","","",""
"","28783","TC-POS-009 - Pilih customer dari popup list pelanggan","firefox","2026-07-13","failed","2026-07-13","pos Customer","","",""
"","27577","end to end","chromium","2026-07-13","failed","2026-07-13","e2e","","",""
"","30414","TC-POS-002 - Search produk dengan keyword minimal 4 karakter","chromium","2026-07-13","broken","2026-07-13","product search","","",""
"","25010","TC-POS-009 - Pilih customer dari popup list pelanggan","chromium","2026-07-13","failed","2026-07-13","pos Customer","","",""
"","25411","TC-POS-010 - Klik icon + pada field customer","chromium","2026-07-13","failed","2026-07-13","pos Customer","","",""
"","30414","TC-POS-001 - Search produk dengan keyword kurang dari 4 karakter","chromium","2026-07-13","broken","2026-07-13","product search","","",""
"","25635","TC-POS-003 - Tambah product dari hasil pencarian manual","chromium","2026-07-13","failed","2026-07-13","product add","","",""
"","31279","TC-POS-005 - Edit Qty item yang sudah masuk list penjualan","firefox","2026-07-13","broken","2026-07-13","product edit","","",""
"","27572","TC-POS-011 - Validasi field mandatory pada form tambah pelanggan","firefox","2026-07-13","failed","2026-07-13","pos Customer","","",""
"","31291","TC-POS-007 - Klik icon search customer tanpa keyword","firefox","2026-07-13","broken","2026-07-13","pos Customer","","",""
"","26536","TC-POS-011 - Validasi field mandatory pada form tambah pelanggan","chromium","2026-07-13","failed","2026-07-13","pos Customer","","",""
"","30426","TC-POS-017 - Klik Batal pada form tambah dokter","chromium","2026-07-13","broken","2026-07-13","pos Doctor","","",""
"","28470","TC-POS-013 - Klik icon X untuk membatalkan form tambah pelanggan","firefox","2026-07-13","failed","2026-07-13","pos Customer","","",""
"","31217","TC-POS-002 - Search produk dengan keyword minimal 4 karakter","firefox","2026-07-13","broken","2026-07-13","product search","","",""
"","25623","TC-POS-012 - Tambah pelanggan via Tambah Cepat dengan field mandatory valid","chromium","2026-07-13","failed","2026-07-13","pos Customer","","",""
"","25924","TC-POS-016 - Tambah dokter via form registrasi","chromium","2026-07-13","failed","2026-07-13","pos Doctor","","",""
"","29492","TC-POS-003 - Tambah product dari hasil pencarian manual","firefox","2026-07-13","failed","2026-07-13","product add","","",""
"","26046","TC-POS-013 - Klik icon X untuk membatalkan form tambah pelanggan","chromium","2026-07-13","failed","2026-07-13","pos Customer","","",""
"","31256","TC-POS-012 - Tambah pelanggan via Tambah Cepat dengan field mandatory valid","firefox","2026-07-13","broken","2026-07-13","pos Customer","","",""
"","29206","TC-POS-015 - Cari doctor dengan keyword minimal 4 karakter","firefox","2026-07-13","failed","2026-07-13","pos Doctor","","",""
"","25847","TC-POS-005 - Edit Qty item yang sudah masuk list penjualan","chromium","2026-07-13","failed","2026-07-13","product edit","","",""
"","18512","TC-LGN-001 - Login berhasil sebagai testqa2","firefox","2026-07-13","passed","2026-07-13","Login gpos","","",""
